Param,Total PL (€),Avg PL (€),Win Rate (%),Trades
50,3401.5235442520698,6.528835977451189,75.62380038387715,521
100,6486.725700728852,12.450529176063055,56.813819577735124,521
150,7773.509881301757,14.920364455473623,47.79270633397313,521
200,10821.12149873915,20.76990690736881,46.06525911708253,521
250,10595.19437932944,20.336265603319458,45.489443378119006,521
300,11782.437344938258,22.615042888557117,45.489443378119006,521
350,13043.801748978542,25.03608780993962,45.489443378119006,521
400,14040.865385342191,26.94983759182762,45.489443378119006,521
450,13758.731329566228,26.408313492449572,45.489443378119006,521
500,14216.551018109061,27.287046100017392,45.489443378119006,521
